Date,Total,East,West
2015-01-01 00:00:00,13.0,4.0,9.0
2015-01-01 01:00:00,27.0,4.0,23.0
2015-01-01 02:00:00,19.0,5.0,14.0
2015-01-01 03:00:00,6.0,0.0,6.0
2015-01-01 04:00:00,5.0,2.0,3.0
2015-01-01 05:00:00,9.0,4.0,5.0
2015-01-01 06:00:00,4.0,4.0,0.0
2015-01-01 07:00:00,4.0,4.0,0.0
2015-01-01 08:00:00,8.0,5.0,3.0
2015-01-01 09:00:00,23.0,12.0,11.0
2015-01-01 10:00:00,30.0,23.0,7.0
2015-01-01 11:00:00,46.0,26.0,20.0
2015-01-01 12:00:00,58.0,33.0,25.0
2015-01-01 13:00:00,88.0,65.0,23.0
2015-01-01 14:00:00,119.0,66.0,53.0
2015-01-01 15:00:00,72.0,45.0,27.0
2015-01-01 16:00:00,78.0,44.0,34.0
2015-01-01 17:00:00,29.0,13.0,16.0
2015-01-01 18:00:00,21.0,10.0,11.0
2015-01-01 19:00:00,19.0,8.0,11.0
2015-01-01 20:00:00,13.0,5.0,8.0
2015-01-01 21:00:00,12.0,7.0,5.0
2015-01-01 22:00:00,5.0,1.0,4.0
2015-01-01 23:00:00,3.0,0.0,3.0
2015-01-02 00:00:00,4.0,2.0,2.0
2015-01-02 01:00:00,3.0,2.0,1.0
2015-01-02 02:00:00,0.0,0.0,0.0
2015-01-02 03:00:00,3.0,2.0,1.0
2015-01-02 04:00:00,2.0,1.0,1.0
2015-01-02 05:00:00,17.0,14.0,3.0
2015-01-02 06:00:00,36.0,26.0,10.0
2015-01-02 07:00:00,96.0,73.0,23.0
2015-01-02 08:00:00,135.0,93.0,42.0
2015-01-02 09:00:00,120.0,84.0,36.0
2015-01-02 10:00:00,67.0,44.0,23.0
2015-01-02 11:00:00,50.0,33.0,17.0
2015-01-02 12:00:00,58.0,25.0,33.0
2015-01-02 13:00:00,56.0,31.0,25.0
2015-01-02 14:00:00,51.0,18.0,33.0
2015-01-02 15:00:00,75.0,36.0,39.0
2015-01-02 16:00:00,130.0,52.0,78.0
2015-01-02 17:00:00,136.0,40.0,96.0
2015-01-02 18:00:00,76.0,21.0,55.0
2015-01-02 19:00:00,38.0,17.0,21.0
2015-01-02 20:00:00,24.0,8.0,16.0
2015-01-02 21:00:00,18.0,13.0,5.0
2015-01-02 22:00:00,11.0,7.0,4.0
2015-01-02 23:00:00,8.0,1.0,7.0
2015-01-03 00:00:00,9.0,5.0,4.0
2015-01-03 01:00:00,8.0,4.0,4.0
2015-01-03 02:00:00,1.0,0.0,1.0
2015-01-03 03:00:00,4.0,2.0,2.0
2015-01-03 04:00:00,4.0,3.0,1.0
2015-01-03 05:00:00,8.0,6.0,2.0
2015-01-03 06:00:00,12.0,7.0,5.0
2015-01-03 07:00:00,14.0,7.0,7.0
2015-01-03 08:00:00,36.0,18.0,18.0
2015-01-03 09:00:00,33.0,14.0,19.0
2015-01-03 10:00:00,43.0,26.0,17.0
2015-01-03 11:00:00,65.0,34.0,31.0
2015-01-03 12:00:00,71.0,41.0,30.0
2015-01-03 13:00:00,110.0,59.0,51.0
2015-01-03 14:00:00,91.0,55.0,36.0
2015-01-03 15:00:00,81.0,51.0,30.0
2015-01-03 16:00:00,80.0,42.0,38.0
2015-01-03 17:00:00,42.0,25.0,17.0
2015-01-03 18:00:00,38.0,22.0,16.0
2015-01-03 19:00:00,19.0,11.0,8.0
2015-01-03 20:00:00,10.0,4.0,6.0
2015-01-03 21:00:00,17.0,10.0,7.0
2015-01-03 22:00:00,12.0,2.0,10.0
2015-01-03 23:00:00,9.0,4.0,5.0
2015-01-04 00:00:00,6.0,2.0,4.0
2015-01-04 01:00:00,8.0,5.0,3.0
2015-01-04 02:00:00,4.0,1.0,3.0
2015-01-04 03:00:00,2.0,1.0,1.0
2015-01-04 04:00:00,1.0,1.0,0.0
2015-01-04 05:00:00,3.0,1.0,2.0
2015-01-04 06:00:00,4.0,1.0,3.0
2015-01-04 07:00:00,9.0,4.0,5.0
2015-01-04 08:00:00,18.0,10.0,8.0
2015-01-04 09:00:00,18.0,10.0,8.0
2015-01-04 10:00:00,28.0,18.0,10.0
2015-01-04 11:00:00,20.0,10.0,10.0
2015-01-04 12:00:00,33.0,17.0,16.0
2015-01-04 13:00:00,31.0,16.0,15.0
2015-01-04 14:00:00,27.0,13.0,14.0
2015-01-04 15:00:00,33.0,12.0,21.0
2015-01-04 16:00:00,28.0,9.0,19.0
2015-01-04 17:00:00,15.0,10.0,5.0
2015-01-04 18:00:00,25.0,14.0,11.0
2015-01-04 19:00:00,8.0,3.0,5.0
2015-01-04 20:00:00,6.0,2.0,4.0
2015-01-04 21:00:00,3.0,2.0,1.0
2015-01-04 22:00:00,8.0,3.0,5.0
2015-01-04 23:00:00,1.0,0.0,1.0
2015-01-05 00:00:00,2.0,1.0,1.0
2015-01-05 01:00:00,0.0,0.0,0.0
2015-01-05 02:00:00,0.0,0.0,0.0
2015-01-05 03:00:00,7.0,6.0,1.0
2015-01-05 04:00:00,4.0,3.0,1.0
2015-01-05 05:00:00,29.0,20.0,9.0
2015-01-05 06:00:00,82.0,48.0,34.0
2015-01-05 07:00:00,179.0,154.0,25.0
2015-01-05 08:00:00,257.0,256.0,1.0
2015-01-05 09:00:00,146.0,146.0,0.0
2015-01-05 10:00:00,51.0,51.0,0.0
2015-01-05 11:00:00,27.0,27.0,0.0
2015-01-05 12:00:00,28.0,27.0,1.0
2015-01-05 13:00:00,36.0,36.0,0.0
2015-01-05 14:00:00,33.0,31.0,2.0
2015-01-05 15:00:00,61.0,32.0,29.0
2015-01-05 16:00:00,138.0,63.0,75.0
2015-01-05 17:00:00,320.0,99.0,221.0
2015-01-05 18:00:00,250.0,71.0,179.0
2015-01-05 19:00:00,90.0,36.0,54.0
2015-01-05 20:00:00,44.0,17.0,27.0
2015-01-05 21:00:00,18.0,7.0,11.0
2015-01-05 22:00:00,11.0,7.0,4.0
2015-01-05 23:00:00,10.0,7.0,3.0
2015-01-06 00:00:00,2.0,1.0,1.0
2015-01-06 01:00:00,5.0,2.0,3.0
2015-01-06 02:00:00,1.0,1.0,0.0
2015-01-06 03:00:00,7.0,4.0,3.0
2015-01-06 04:00:00,5.0,2.0,3.0
2015-01-06 05:00:00,34.0,23.0,11.0
2015-01-06 06:00:00,102.0,72.0,30.0
2015-01-06 07:00:00,245.0,234.0,11.0
2015-01-06 08:00:00,368.0,368.0,0.0
2015-01-06 09:00:00,207.0,206.0,1.0
2015-01-06 10:00:00,106.0,105.0,1.0
2015-01-06 11:00:00,44.0,44.0,0.0
2015-01-06 12:00:00,64.0,64.0,0.0
2015-01-06 13:00:00,49.0,49.0,0.0
2015-01-06 14:00:00,62.0,62.0,0.0
2015-01-06 15:00:00,127.0,51.0,76.0
2015-01-06 16:00:00,228.0,91.0,137.0
2015-01-06 17:00:00,420.0,133.0,287.0
2015-01-06 18:00:00,354.0,109.0,245.0
2015-01-06 19:00:00,152.0,52.0,100.0
2015-01-06 20:00:00,64.0,23.0,41.0
2015-01-06 21:00:00,43.0,19.0,24.0
2015-01-06 22:00:00,27.0,12.0,15.0
2015-01-06 23:00:00,9.0,4.0,5.0
2015-01-07 00:00:00,9.0,5.0,4.0
2015-01-07 01:00:00,5.0,4.0,1.0
2015-01-07 02:00:00,6.0,6.0,0.0
2015-01-07 03:00:00,3.0,1.0,2.0
2015-01-07 04:00:00,4.0,3.0,1.0
2015-01-07 05:00:00,26.0,20.0,6.0
2015-01-07 06:00:00,106.0,76.0,30.0
2015-01-07 07:00:00,241.0,228.0,13.0
2015-01-07 08:00:00,376.0,376.0,0.0
2015-01-07 09:00:00,254.0,254.0,0.0
2015-01-07 10:00:00,73.0,73.0,0.0
2015-01-07 11:00:00,52.0,52.0,0.0
2015-01-07 12:00:00,61.0,60.0,1.0
2015-01-07 13:00:00,60.0,60.0,0.0
2015-01-07 14:00:00,73.0,71.0,2.0
2015-01-07 15:00:00,102.0,47.0,55.0
2015-01-07 16:00:00,188.0,88.0,100.0
2015-01-07 17:00:00,481.0,135.0,346.0
2015-01-07 18:00:00,374.0,130.0,244.0
2015-01-07 19:00:00,153.0,58.0,95.0
2015-01-07 20:00:00,74.0,24.0,50.0
2015-01-07 21:00:00,56.0,21.0,35.0
2015-01-07 22:00:00,30.0,15.0,15.0
2015-01-07 23:00:00,18.0,10.0,8.0
2015-01-08 00:00:00,5.0,2.0,3.0
2015-01-08 01:00:00,3.0,0.0,3.0
2015-01-08 02:00:00,2.0,2.0,0.0
2015-01-08 03:00:00,4.0,2.0,2.0
2015-01-08 04:00:00,7.0,6.0,1.0
2015-01-08 05:00:00,32.0,24.0,8.0
2015-01-08 06:00:00,112.0,78.0,34.0
2015-01-08 07:00:00,192.0,185.0,7.0
2015-01-08 08:00:00,341.0,341.0,0.0
2015-01-08 09:00:00,179.0,178.0,1.0
2015-01-08 10:00:00,73.0,73.0,0.0
2015-01-08 11:00:00,44.0,42.0,2.0
2015-01-08 12:00:00,63.0,63.0,0.0
2015-01-08 13:00:00,75.0,75.0,0.0
2015-01-08 14:00:00,75.0,59.0,16.0
2015-01-08 15:00:00,128.0,63.0,65.0
2015-01-08 16:00:00,182.0,72.0,110.0
2015-01-08 17:00:00,402.0,125.0,277.0
2015-01-08 18:00:00,320.0,105.0,215.0
2015-01-08 19:00:00,165.0,64.0,101.0
2015-01-08 20:00:00,67.0,24.0,43.0
2015-01-08 21:00:00,56.0,29.0,27.0
2015-01-08 22:00:00,41.0,21.0,20.0
2015-01-08 23:00:00,42.0,18.0,24.0
2015-01-09 00:00:00,27.0,15.0,12.0
2015-01-09 01:00:00,16.0,16.0,0.0
2015-01-09 02:00:00,1.0,0.0,1.0
2015-01-09 03:00:00,2.0,1.0,1.0
2015-01-09 04:00:00,9.0,7.0,2.0
2015-01-09 05:00:00,23.0,15.0,8.0
2015-01-09 06:00:00,87.0,58.0,29.0
2015-01-09 07:00:00,218.0,159.0,59.0
2015-01-09 08:00:00,345.0,262.0,83.0
2015-01-09 09:00:00,224.0,149.0,75.0
2015-01-09 10:00:00,93.0,66.0,27.0
2015-01-09 11:00:00,47.0,30.0,17.0
2015-01-09 12:00:00,59.0,31.0,28.0
2015-01-09 13:00:00,56.0,29.0,27.0
2015-01-09 14:00:00,83.0,50.0,33.0
2015-01-09 15:00:00,101.0,45.0,56.0
2015-01-09 16:00:00,223.0,97.0,126.0
2015-01-09 17:00:00,373.0,101.0,272.0
2015-01-09 18:00:00,264.0,91.0,173.0
2015-01-09 19:00:00,106.0,39.0,67.0
2015-01-09 20:00:00,46.0,18.0,28.0
2015-01-09 21:00:00,38.0,15.0,23.0
2015-01-09 22:00:00,35.0,22.0,13.0
2015-01-09 23:00:00,14.0,10.0,4.0
2015-01-10 00:00:00,4.0,3.0,1.0
2015-01-10 01:00:00,3.0,2.0,1.0
2015-01-10 02:00:00,5.0,0.0,5.0
2015-01-10 03:00:00,0.0,0.0,0.0
2015-01-10 04:00:00,0.0,0.0,0.0
2015-01-10 05:00:00,8.0,5.0,3.0
2015-01-10 06:00:00,16.0,5.0,11.0
2015-01-10 07:00:00,12.0,7.0,5.0
2015-01-10 08:00:00,51.0,24.0,27.0
2015-01-10 09:00:00,52.0,33.0,19.0
2015-01-10 10:00:00,51.0,37.0,14.0
2015-01-10 11:00:00,53.0,22.0,31.0
2015-01-10 12:00:00,82.0,39.0,43.0
2015-01-10 13:00:00,60.0,20.0,40.0
2015-01-10 14:00:00,76.0,47.0,29.0
2015-01-10 15:00:00,45.0,21.0,24.0
2015-01-10 16:00:00,63.0,31.0,32.0
2015-01-10 17:00:00,44.0,20.0,24.0
2015-01-10 18:00:00,30.0,18.0,12.0
2015-01-10 19:00:00,28.0,17.0,11.0
2015-01-10 20:00:00,28.0,10.0,18.0
2015-01-10 21:00:00,29.0,14.0,15.0
2015-01-10 22:00:00,18.0,7.0,11.0
2015-01-10 23:00:00,13.0,7.0,6.0
2015-01-11 00:00:00,1.0,0.0,1.0
2015-01-11 01:00:00,3.0,1.0,2.0
2015-01-11 02:00:00,4.0,3.0,1.0
2015-01-11 03:00:00,5.0,5.0,0.0
2015-01-11 04:00:00,2.0,2.0,0.0
2015-01-11 05:00:00,3.0,0.0,3.0
2015-01-11 06:00:00,7.0,2.0,5.0
2015-01-11 07:00:00,14.0,9.0,5.0
2015-01-11 08:00:00,31.0,20.0,11.0
2015-01-11 09:00:00,54.0,30.0,24.0
2015-01-11 10:00:00,51.0,29.0,22.0
2015-01-11 11:00:00,63.0,36.0,27.0
2015-01-11 12:00:00,82.0,46.0,36.0
2015-01-11 13:00:00,85.0,52.0,33.0
2015-01-11 14:00:00,92.0,54.0,38.0
2015-01-11 15:00:00,85.0,53.0,32.0
2015-01-11 16:00:00,72.0,31.0,41.0
2015-01-11 17:00:00,50.0,24.0,26.0
2015-01-11 18:00:00,37.0,16.0,21.0
2015-01-11 19:00:00,24.0,15.0,9.0
2015-01-11 20:00:00,18.0,7.0,11.0
2015-01-11 21:00:00,11.0,6.0,5.0
2015-01-11 22:00:00,10.0,4.0,6.0
2015-01-11 23:00:00,6.0,3.0,3.0
2015-01-12 00:00:00,6.0,4.0,2.0
2015-01-12 01:00:00,1.0,1.0,0.0
2015-01-12 02:00:00,1.0,1.0,0.0
2015-01-12 03:00:00,7.0,5.0,2.0
2015-01-12 04:00:00,2.0,2.0,0.0
2015-01-12 05:00:00,32.0,25.0,7.0
2015-01-12 06:00:00,105.0,68.0,37.0
2015-01-12 07:00:00,234.0,221.0,13.0
2015-01-12 08:00:00,367.0,367.0,0.0
2015-01-12 09:00:00,193.0,192.0,1.0
2015-01-12 10:00:00,76.0,76.0,0.0
2015-01-12 11:00:00,51.0,51.0,0.0
2015-01-12 12:00:00,52.0,52.0,0.0
2015-01-12 13:00:00,70.0,69.0,1.0
2015-01-12 14:00:00,82.0,82.0,0.0
2015-01-12 15:00:00,114.0,50.0,64.0
